Features,Label,Predicted_Label
"Riboflavin vitamin is:
\( A \cdot B_{1} \)
\( B \cdot B_{2} \)
\( c \cdot B_{12} \)
D. B \( _{6} \)",,3.0
"Two short magnets of equal dipole
moments \( M \) are fastened
perpendicularly at their centres as given in the figure. The magnitude of
the magnetic field at a distance \( d \) from
the centre on the bisector of the right angle is
A. \( \frac{\mu_{0} m}{4 \pi d^{3}} \)
в. \( \frac{\mu_{0} \sqrt{2} M}{4 \pi d^{3}} \)
c. \( \frac{\mu_{0} 2 \sqrt{2} M}{4 \pi d^{3}} \)
D. \( \frac{\mu_{0} 2 M}{4 \pi d^{3}} \)",,4.0
Define a diagonal matrix.,,3.0
"The equation of an alternating voltage is \( V=100 \sqrt{2} \sin 100 \pi t \) volt. The RMS
value of voltage and frequency will be respectively
A. \( 100 V, 50 H z \)
в. \( 50 V, 100 H z \)
c. \( 150 V, 50 H z \)
D. \( 200 V, 50 H z \)",,4.0
"\( \boldsymbol{C}_{\boldsymbol{g} \text {raphite}}+\boldsymbol{O}_{\mathbf{2}(\boldsymbol{g})} \rightarrow \boldsymbol{C} \boldsymbol{O}_{2(\boldsymbol{g})} ; \boldsymbol{\Delta} \boldsymbol{H}= \)
\( -393.5 k J, \Delta H \) of the reaction cannot
be:
A. Heat of formation of \( C O_{2} \)
B. Heat of combustion of \( C O_{2} \)
c. Heat of reaction
D. Heat of transition",,2.0
"Mr. Dixit resigned from the company after 4 years of service.
A. If only G can be given
B. If only PF can be given
c. If both G and Pf can be given
D. If neither G nor PF can be given",,3.0
"A tissue paper soaked with polluted
water showed \( K_{\alpha} \) peaks at \( 78.9 \mathrm{pm}, 146 \) \( \mathrm{pm}, 158 \mathrm{pm} \) and \( 198 \mathrm{pm} . \) Find the
elements it contained.",,2.0
"A satellite of mass 'm', moving around
the earth in a circular orbit of radius \( \boldsymbol{R} \)
has angular momentum \( L \). The areal velocity of satellite is:
\( \mathbf{A} \cdot L / 2 m \)
в. \( L / m \)
\( \mathbf{c} \cdot 2 L / m \)
D. \( 2 L / m_{e} \)",,4.0
Why does all weather phenomena take place in the troposphere?,,2.0
"Two isomer products are obtained in
(C). They are:
A. both \( \gamma \) -lactone
B. both \( \delta \) -lactones
C. one is \( \gamma \) -lactone and another is \( \delta \) -lactone
D. none",,2.0
